Compressor Roll Force,Punch Stiffness,Pre-compressor Roll Force,Tab Cylinder High (main),Tab Fill Depth,Magnesium Citrate Quality,Particle Size Retention,Potency Concentration,Output
15.55000019,79.5,2.099999905,0.655000001,9.105000019,99,2.5,98.79,bad
17.75,84.5,2.199999928,0.645000011,9.120000362,99,2.5,98.79,bad
18,87.5,2.25,0.620000005,9.289999962,99,2.5,98.79,bad
18.30000019,74,2.149999976,0.620000005,9.070000172,99,2.5,98.79,bad
12.55000019,77,2.649999976,1.210000038,8.84499979,99.6,2.8,99.42,good
12.1500001,77.5,2.599999905,1.230000019,8.360000134,99.5,2.6,99.34,good
12.5999999,75,2.5,1.209999979,8.375,99.55,2.7,99.38,good
15.99999952,186,2.75,0.610000014,9.099999905,99.9,0.9,99.68,good
16.44999981,176,2.850000024,0.590000004,9.434999943,99.9,0.9,99.68,good
17.05000019,175,2.950000048,0.630000025,9.255000114,99.9,0.9,99.68,good
17.30000019,169,2.850000024,0.609999985,9.204999924,99.9,0.9,99.68,good
13.5999999,54.5,2.300000072,0.834999979,8.775000095,99.75,1.85,99.55,good
14.20000029,57,2.199999928,0.784999996,8.770000458,99.75,1.85,99.55,good
17.35000038,56.5,2.25,0.695000023,8.860000134,99.75,1.85,99.55,good
17.45000076,65,2.25,0.695000023,8.725000381,99.75,1.85,99.55,good
18.39999962,64,2.350000024,0.715000004,8.75,99.75,1.85,99.55,good
19.05000019,60.5,2.299999952,0.715000004,8.790000439,99.75,1.85,99.55,good
18.84999943,57,2.299999952,0.734999985,8.785000324,99.75,1.85,99.55,good
16.90000057,48,2.400000095,0.734999985,9.075000286,99.85,2.65,99.605,good
19.55000019,46.5,2.299999952,0.610000014,9.034999847,99.85,2.65,99.605,good
19.39999962,45.5,2.299999952,0.664999992,8.985000134,99.85,2.65,99.605,good
18.15000057,45.5,2.399999976,0.770000011,9.095000267,99.85,2.65,99.605,good
16.69999981,44.5,2.450000048,0.719999999,9.010000229,100.1,2.5,99.79,good
16.59999943,49,2.400000095,0.699999988,9.045000076,100.1,2.5,99.79,good
16.69999981,50,2.299999952,0.699999988,8.944999695,100.1,2.5,99.79,good
16.64999962,48,2.299999952,0.674999982,9.045000076,100.1,2.5,99.79,good
17.30000019,44,2.350000024,0.704999983,9.004999638,100.1,2.5,99.79,good
17.19999981,44.5,2.399999976,0.704999983,9.079999924,100.1,2.5,99.79,good
17.35000038,46.5,2.149999976,0.704999983,8.900000095,100.1,2.5,99.79,good
17.55000019,48,2.199999928,0.724999994,8.955000401,100.1,2.5,99.79,good
17.19999981,51.5,2.25,0.695000023,9.010000229,100.05,2.15,99.8,good
17.10000038,47.5,2.25,0.674999982,8.965000153,100.05,2.15,99.8,good
17.15000057,46.5,2.299999952,0.715000004,8.989999771,100.05,2.15,99.8,good
17.30000019,42,2.350000024,0.734999985,9.03000021,100.05,2.15,99.8,good
17.25,43.5,2.350000024,0.734999985,8.940000057,100.05,2.15,99.8,good
17.35000038,40,2.300000072,0.734999985,8.904999733,100.05,2.15,99.8,good
17.25,44.5,2.25,0.754999995,8.960000038,100.05,2.15,99.8,good
16.65000057,57,2.400000095,0.724999994,9.004999638,100,1.8,99.81,good
16.89999962,51.5,2.450000048,0.724999994,9.059999943,100,1.8,99.81,good
16.1500001,60.5,2.549999952,0.744999975,9.150000095,100.05,2.25,99.8,good
16.1500001,59.5,2.5,0.724999994,9.264999866,100.05,2.25,99.8,good
17.15000057,79.5,2.549999952,0.724999994,9.144999981,100.05,2.25,99.8,good
17.69999981,79.5,2.599999905,0.724999994,9.135000229,100.05,2.25,99.8,good
17.85000038,71.5,2.599999905,0.724999994,9.190000057,100.05,2.25,99.8,good
18,76.5,2.599999905,0.724999994,9.170000076,100.05,2.25,99.8,good
18,74,2.599999905,0.724999994,9.200000286,100.05,2.25,99.8,good
16.55000019,71.5,1.849999964,0.689999998,8.914999962,100.1,2.7,99.79,good
17.94999981,75,1.949999988,0.700000018,8.985000134,100.1,2.7,99.79,good
17.84999943,50.5,1.899999976,0.700000018,8.934999943,100.1,2.7,99.79,good
18.20000076,48,1.899999976,0.700000018,8.940000057,100.1,2.7,99.79,good
18.29999924,41.5,1.899999976,0.719999999,8.924999714,100.1,2.7,99.79,good
16.20000029,52,2.399999976,0.710000008,8.805000305,100.1,2.7,99.79,good
16.1500001,54.5,2.524999976,0.710000008,8.917500019,100.1,2.7,99.79,good
16.25000048,38,2.450000048,0.729999989,8.81000042,100.1,2.7,99.79,good
16.34999943,56.5,2.450000048,0.710000008,8.845000267,100.1,2.7,99.79,good
16.44999981,53,2.5,0.755000025,8.835000038,100.1,2.7,99.79,good
16.55000019,53,2.549999952,0.765000015,8.875,100.1,2.7,99.79,good
15.0999999,61,2.549999952,0.754999995,8.849999905,100.05,2.4,99.795,good
15.05000019,59,2.5,0.734999985,8.865000248,100.05,2.4,99.795,good
16.55000019,56.5,2.350000024,0.699999988,8.755000114,100.05,2.4,99.795,good
17,54.5,2.400000095,0.699999988,8.735000134,100.05,2.4,99.795,good
17.89999962,53.5,2.5,0.715000004,8.789999962,100.05,2.4,99.795,good
18.25,52,2.450000048,0.715000004,8.775000095,100.05,2.4,99.795,good
16.0999999,71,2.599999905,0.734999985,9.174999714,100,2.1,99.8,good
15.90000057,77.5,2.5,0.715000004,9.144999981,100,2.1,99.8,good
16.60000038,48.5,2.450000048,0.715000004,9.15500021,100,2.1,99.8,good
16.59999943,51.5,2.450000048,0.734999985,9.150000095,100,2.1,99.8,good
17,50.5,2.450000048,0.724999994,9.144999981,100,2.1,99.8,good
17.25,55,2.549999952,0.745000005,9.259999752,100,2.1,99.8,good
17.40000057,57,2.549999952,0.724999994,9.21999979,100,2.1,99.8,good
16.89999962,54.5,2.549999952,0.754999995,9.255000114,100,2.1,99.8,good
16.94999981,55.5,2.549999952,0.754999995,9.260000229,100,2.1,99.8,good
14.3499999,79,2.450000048,0.775000006,8.950000286,100,2.1,99.8,good
14.45000029,84,2.400000095,0.729999989,8.890000343,100,2.1,99.8,good
15.25,67.5,2.400000095,0.729999989,8.934999943,100,2.1,99.8,good
16.14999962,65,2.450000048,0.729999989,8.960000038,100,2.1,99.8,good
16.25,65.5,2.5,0.729999989,9.014999866,100,2.1,99.8,good
17.19999981,79,2.649999976,0.734999985,9.009999752,100,2.1,99.8,good
17.04999924,76.5,2.549999952,0.734999985,8.980000019,100,2.1,99.8,good
16.1500001,62,2.299999952,0.725000024,9.054999828,99.95,2.25,99.75,good
16.04999971,70,2.299999952,0.704999983,9.085000038,99.95,2.25,99.75,good
16.44999981,62.5,2.299999952,0.725000024,9.110000134,99.95,2.25,99.75,good
16.55000019,58.5,2.299999952,0.704999983,9.079999924,99.95,2.25,99.75,good
17.60000038,61.5,2.350000024,0.704999983,9.134999752,99.95,2.25,99.75,good
17.45000076,63.5,2.350000024,0.704999983,9.210000038,99.95,2.25,99.75,good
17.94999981,66.5,2.400000095,0.704999983,9.099999905,99.95,2.25,99.75,good
18.14999962,66.5,2.400000095,0.704999983,9.090000153,99.95,2.25,99.75,good
17.5,55.5,2.700000048,0.730000019,10.42499971,99.9,2.4,99.7,good
17.19999981,62.5,2.649999976,0.719999999,10.34499979,99.9,2.4,99.7,good
16.94999981,55.5,2.549999952,0.705000013,9.944999695,99.9,2.4,99.7,good
17.10000038,60.5,2.450000048,0.694999993,9.734999657,99.9,2.4,99.7,good
17.75,60,2.5,0.694999993,9.09499979,99.9,2.4,99.7,good
17.84999943,57.5,2.599999905,0.694999993,9.005000114,99.9,2.4,99.7,good
17.44999981,54,2.649999976,0.694999993,8.579999924,99.9,2.4,99.7,good
16.69999981,50,2.350000024,0.715000004,9,99.9,2.4,99.7,good
17.05000019,65,2.450000048,0.680000007,9.160000324,99.85,2.45,99.64,good
18.55000019,49,2.450000048,0.719999999,9.195000172,99.85,2.45,99.64,good
17.65000057,58.5,2.400000095,0.699999988,9.164999962,99.85,2.45,99.64,good
17.09999943,56,2.549999952,0.699999988,9.099999905,99.8,2.5,99.58,good
17.09999943,56,2.549999952,0.699999988,9.099999905,99.8,2.5,99.58,good
18.5,55,2.549999952,0.670000017,9.034999847,99.8,2.5,99.58,good
18.75,58.5,2.649999976,0.680000007,9.180000305,99.8,2.5,99.58,good
19.79999924,56,2.599999905,0.629999995,9.039999962,99.8,2.5,99.58,good
20.32499981,55.75,2.62499994,0.640000001,9.037499905,99.8,2.5,99.58,good
18.35000038,52.5,2.549999952,0.650000006,8.875,99.8,2.5,99.58,good
16.94999981,61.5,2.5,0.720000029,8.890000343,99.8,2.5,99.58,good
16.69999981,49,2.350000024,0.700000018,8.824999809,99.8,2.5,99.58,good
16.89999962,42.5,2.350000024,0.710000008,8.855000019,99.8,2.5,99.58,good
17.10000038,42.5,2.350000024,0.729999989,8.795000076,99.8,2.5,99.58,good
17.5,43.5,2.400000095,0.734999985,8.84499979,99.8,2.5,99.58,good
